Date,Mois,Type de séance,Contenu principal,Charge / Volume clé,WOD,RPE (1-10),Ressenti post-séance,Douleur / alerte,Commentaire
05/01/2026,Janvier,CrossFit,Thruster,"4 x 5 rep (60kgx5, 65kgx1)",EMOM 20' (1. Row 2. WB 3. T2B 4. Rest),7,Epuisé,N/A,Fatigue post indigestion
06/01/2026,Janvier,Haltéro,Power Clean,3 - 2 - 1 - 3 - 2 - 1,N/A,8,Fatigué,N/A,Fatigue insomnie
07/01/2026,Janvier,CrossFit,Front Squat,4 x 6 rep tempo 2 2 1 (85kg puis dernière à 90kg),"AMRAP 10' (DB C&J, Sit ups, DB Clean)",6,OK,N/A,Epuisé insomnie
09/01/2026,Janvier,Run,"7km à 5,15/km",N/A,N/A,5,Fatigué,N/A,Dur post repas Noël
12/01/2026,Janvier,CrossFit,Power Clean & Jerk,5 x 5 rep Touch & Go (60kg),"AMRAP 10' (10 STOH, 35 DU, 15 sit ups)",7,Bien,N/A,Les DU me ralentissent
13/01/2026,Janvier,Haltéro,Complex C&J et Hip Snatch,70kg + 50 kg,N/A,6,Bien,N/A,"Bonne énergie, bonne technique"
14/01/2026,Janvier,CrossFit,Front Squat,EMOM 10' 5-4-3 rep (90kg puis 95kg dernière)),12' For Time (21-15-9-15-21 DL 80kg & Burpees target),8,Bien,N/A,Bonne énergie malgré fatigue
15/01/2026,Janvier,Renfo,"Pull up, dips, chin up, push up",N/A,N/A,5,Moyen,Poignet,Peu d'énergie
17/01/2026,Janvier,CrossFit,Team WOD,N/A,"AMRAP 3' BJO, AMRAP 15' OHS, DU, Complex gym AMRAP 3' BBJO",6,Moyen,N/A,DU nul nul
19/01/2026,Janvier,CrossFit,Thruster,"5 x 5 rep (2x60, 2x65, 1x70)","For Time 12' (30 PU, 30 WB, 20 C2B, 40 WB, 10 BMU, 50 WB)",8,Bien,N/A,Fatigue post nuit difficile + C2B nul
20/01/2026,Janvier,Haltéro,No Feet Clean & Split Jerk + Hip Squat Snatch,N/A,N/A,7,Très bien,N/A,"Malgré peu de sommeil, très bonnes sensations"
21/01/2026,Janvier,CrossFit,Front Squat,EMOM 10' 5-4-4 rep (90kg puis 95kg dernière),"For Time 12' (30 DB Snatch, 30 BJO, 9 WW, 30 DB OH Lunges, 30 BJO, 7 WW, 30 DB HC&J, 30 BJO, 5 WW)",8,Pas mal,N/A,"Mieux dormi mais pas dingue, content de la force, cardio un peu en galère"
22/01/2026,Janvier,Renfo,"Pull up, dips, chin up, push up",N/A,N/A,5,Bon,Poignet,"Mieux dormi, moins de fatigue que la semaine dernière"
23/01/2026,Janvier,CrossFit,Power Snatch + OHS,E2MOM 2 PS + 3 OHS 60kg,"For Time 15' (3 rounds: 800m row, 10 DL 100kg 15 SHSPU)",7,Bon,Épaule légèrement,"Nuit de merde, articulations légèrement douloureuses mais mental très bon, SHSPU fort fort"
24/01/2026,Janvier,CrossFit,Team WOD Adrien,N/A,"AMRAP 13' (20 HC&J 43kg (DL hold partner), 20 cal echo, 20 T2B) puis 3 rounds 13': 20m HSW, 15 burpees target sync, 20m DB lunges sync)",9,Fatigué mais très bon,N/A,"Meilleure nuit, grip dur dur mais pareil, mental très bon"
25/01/2026,Janvier,Run,"10,3km à 5,9/km",N/A,N/A,4,Bien,N/A,"Après 6 jours d'entraînement, cardio top mais cannes fatiguées, zone 2"
26/01/2026,Janvier,CrossFit,Power Clean & Jerk,"Touch & Go, 3, 3, 5, 5, 5 rep (50 puis 60kg)","AMRAP 10' (10 Burpees over DB, 12 DB Thrusters, 14 T2B)",6,Mauvais,Épaule,"Surrentrainement, fatigue, douleur épaule, à oublier"
28/01/2026,Janvier,CrossFit,Front Squat,EMOM 10' 5 rep (90kg puis 95kg les 2 dernières),For Time 21-15-9 Deadlift 100kg Row: 5'17,8,Bon,Épaule,"Bonne énergie, l'épaule m'inquiète"
29/01/2026,Janvier,Renfo,Epaules,N/A,N/A,2,Mauvais,Épaule,"Douleur épaule droite toujours, je mobilise autour mais pas dingue"
30/01/2026,Janvier,Run,"6,,04km à 5.56/km",N/A,N/A,3,Bon,N/A,"Sortie zone de confort, respiration par le nez à 80%"
31/01/2026,Janvier,CrossFit,Team WOD,N/A,"AMRAP 10' (3 Strich Chest to Ring, 5 Thrusters 50kg, 9 situp) puis 5' to find 1 RM Front squat (100kg) puis 12' AMRAP (100 DU, 50 DB HC&J, 25 TTB)",7,Mal mais bon,Épaule,DU nul à nouveau et surtout épaule douloureuse
01/02/2026,Février,Run,"7,02km à 5,19/km",N/A,N/A,6,Bon,Dos,Dos un peu douloureux après le WOD de la veille mais cardio très bon
02/02/2026,Février,Endurance,N/A,N/A,E3MOM 39',5,Bien,N/A,"Juste pas fait de Devil Press, pas de douleur, bonne forme"
03/02/2026,Février,Renfo,Epaules,N/A,N/A,4,Bien,N/A,Peu de douleur à l'épaules donc content
04/02/2026,Février,CrossFit,Front Squat,"Every 3' x 5 (100, 100, 105, 110, 115)","AMRAP 10' (14m double DB 22,5 Lunges, 10 V-up, 10 Arch-up)",7,Bien,N/A,Très bonne forme
05/02/2026,Février,Run,"5km à 5,15/km",N/A,N/A,6,Bien,N/A,Jambes un peu lourdes post squat mais bien
06/02/2026,Février,CrossFit,Deadlift,"Every 3' x 5, 5 deadlift 120kg","AMRAP 20' (21 cal echo, 15 DL 80kg, 9 HSPU)",6,Bien,N/A,"J'ai essayé les push ups, trop tôt, V-ups à la place. Très bon cardio"
08/02/2026,Février,Run,"11,63km à 6,09km",N/A,N/A,4,Très bien,N/A,Jambes encore un peu lourdes mais cardio au top
09/02/2026,Février,Endurance,N/A,N/A,"AMRAP 40' cal, KB swing, box jumps",5,Bien,N/A,Bon rythme de croisière
10/02/2026,Février,CrossFit,HSPU,N/A,"AMRAP 20' (500m row, 20 KB swing 24kg, 10 SHSPU) 5 tours et 300m",7,Très bien,Poignet,"Poignet au début mais une fois chaud les HSPU sont très bien passés, et l'épaule a très bien tenu"
11/02/2026,Février,CrossFit,Front Squat,"Every 3' x 5 (3x105, 3x105, 2x110, 2x115, 1x120)","EMOM 10' (50 DU, 15 DB Clean)",8,Correct,N/A,"Toujours les DU. Sinon, puissant sur les front squat"
13/02/2026,Février,CrossFit,Power Clean + paused Front Squat,EMOM 5' 80 kg,"For Time 13' (10, 8, 6, 4, 2 Power Clean, Front Squat, 20, 16, 12, 8, 4 Row)",8,Bien,N/A,Les jambes lourdes pendant le WOD mais fini en 9'30)
14/02/2026,Février,CrossFit,Team WOD,N/A,AMRAP 12' puis AMRAP 12',6,Bien,N/A,"Pas de douleur à l'épaule pendant le WOD, content mais post-WOD sensible épaule + coude"
16/02/2026,Février,Endurance,N/A,N/A,EMOM 42',5,Bien,N/A,"Je me sens malade depuis hier mais le WOD se passe très bien, bon cardio"
17/02/2026,Février,CrossFit,HSW,N/A,"AMRAP 12' (20 WB, 10 HSPU, 20 cal Echo, 5m HSW)",7,Bien,N/A,"Pas de douleur à l'épaule, content. HSW à bosser mais c'est pas mal et HSPU fort"
18/02/2026,Février,CrossFit,Front Squat,"Every 3' x 5 (3x100, 3x110, 2x115, 2x120, 1x125)","EMOM 10' (DB Step up, sit up)",7,Moyen,N/A,"Farigue générale, content d'avoir soulevé ce que je voulais malgré l'état général"
19/02/2026,Février,Renfo,"Pull-up, Push-up, bras, DU, HSW",N/A,N/A,4,Moyen,N/A,"Pas de douleur, content"
21/02/2026,Février,CrossFit,N/A,N/A,"170 cal row to share + AMRAP BMU, DB Squat Snatch, TTB",6,Bien,N/A,Un peu malade mais très bon cardio
22/02/2026,Février,Run,"8,5km à 6,31/km",N/A,N/A,4,Moyen,N/A,Un peu malade toujours
23/02/2026,Février,Endurance,N/A,N/A,N/A,5,Bien,N/A,Push press DB tendu sur la gauche mais très bon exercice
24/02/2026,Février,CrossFit,Core,N/A,"AMRAP 12' (3 WW, 12 BJO, 12 DB Snatch)",8,Bien,N/A,"Nuit quasi blanche  mais je suis présent et je fais quasi 7 tours, content"
25/02/2026,Février,CrossFit,Front Squat,1RM,3 x 3 Bulgarian squats (8/8),5,Moyen,N/A,"Mauvaise forme, fails au squat, jour sans"
01/03/2026,Mars,Run,"9,7km à 6,12/km",N/A,N/A,3,Bien,N/A,"Très bon souffle, bonnes jambes"
02/03/2026,Mars,CrossFit,Open 26.1,N/A,225 rep,8,Moyen,N/A,Nuit quasi blanche
03/03/2026,Mars,CrossFit,Core,N/A,"EMOM 20' (15 cal ski, 15 cal row, 13 cal echo, rest)",7,Bien,N/A,"Meilleure nuit, entrainement core et cardio juste ce qu'il faillait"
04/03/2026,Mars,CrossFit,Strict Press,"4 x 10 (tempo 2, 1, 1, 0) à 40 kg","3 rounds (400m, 21 swing, 15 G-squat, 9 pull up)",7,Bien,N/A,Bien de retrouver les WOD avec de la course
06/03/2026,Mars,CrossFit,Snatch,"EMOM 6 (1 High pull Snatch, 1 muscle Snatch, 1 Power Snatch)","AMRAP 12' (5 Power Snatch 60kg, 10 Burpees over the bar, 15 T2B)",8,Moyen,Épaule,Epaule un peu sensible avec les power snatch et T2B nul
07/03/2026,Mars,CrossFit,Team WOD,N/A,"1200m puis 30-20-10 (Swing, push up), 800m puis 30-20-10 (KB Thrusters, HSPU), 400m puis 30-20-10 (KB Sumo HP, HSW)",8,Bien,N/A,"Nuit dégueulasse mais grosse perf avec Sophie, mis à part les HSW"
08/03/2026,Mars,Run,"10km à 5,22/km",N/A,N/A,7,Bien,N/A,Jambes lourdes après mais content on se teste à de meilleures allures
09/03/2026,Mars,CrossFit,Open 26.2,N/A,112 rep,8,Moyen,Épaule,RMU
10/03/2026,Mars,CrossFit,Core,N/A,"Every 6' x 3 (400m run, 20 double DB step-up, 10 BBJO)",7,Bien,N/A,Le nerveux dans le sac mais content on a bougé
11/03/2026,Mars,CrossFit,Strict Press,4 x 8 avec 2' excentric 45kg,For Time 21-15-9 Deadlift 100kg alt 30 cal row,7,Bien,N/A,Petite forme toujours mais content ça a bien bougé
12/03/2026,Mars,Renfo,"Bench Press, pull up",N/A,N/A,4,Moyen,Avant-bras,Petite forme toujours
14/03/2026,Mars,CrossFit,Team WOD,N/A,N/A,7,Bien,N/A,Toujours malade mais bien bougé
15/03/2026,Mars,Run,"4km à 6,3/km",N/A,N/A,3,Mauvais,N/A,Malade
16/03/2026,Mars,CrossFit,Open 26.3,N/A,170 rep,9,Moyen,N/A,J'ai bien senti la maladie mais tout donné
17/03/2026,Mars,CrossFit,Core,N/A,"EMOM 20' (15 cal ski, 13 cal echo, 15 cal row, rest)",8,Moyen,N/A,"Nuit de merde, content d'avoir bien bougé"
18/03/2026,Mars,CrossFit,Strict Press,"4 x 8 + 20"" HS hold (45kg)","For Time 4 rounds (400m run, 5 SHSPU, 10 HSPU)",7,Bien,N/A,Très content dans mes souvenirs
23/03/2026,Mars,Endurance,N/A,N/A,N/A,7,Bien,N/A,Bonne session zone 3-4 après 4 jours de pause et d'alcool
24/03/2026,Mars,Haltéro,"Pause Squat Clean + Pause Split Jerk (80, 85, 90, 95)",Power Snatch paused Hang,N/A,5,Bien,N/A,"Retour à l'haltéro, ça fait plaisir"
24/03/2026,Mars,Run,"7km en fractionné x 7 (environ 6/km et 4,3/km) ",N/A,N/A,6,Bien,N/A,"Bonne session, premier fractionné"
26/03/2026,Mars,Renfo,Haut du corps,N/A,N/A,4,Bien,N/A,Bon renfo
26/03/2026,Mars,Run,"7,1km à 5,2/km",N/A,N/A,6,Bien,N/A,"Bon rythme, objectif prochaine fois distance similaire à 4,9/km"
28/03/2026,Mars,Force,Back Squat,4 x 6 à 100 kg,Bulgarian split squat,5,Bien,N/A,"Post tattoo, séance vite fait"
30/03/2026,Mars,CrossFit,Power Snatch + OHS,"2 x 40, 2 x 50, 2 x 55",1/4 finale WOD 1,7,Bien,Épaule,"Un enchainement de nuits difficiles, mais content du résultat"
31/03/2026,Mars,Haltéro,Squat Clean + Split Jerk,Power Snatch,N/A,6,Bien,N/A,"Les charges montent bien, technique à bosser, épaule pas douloureuse"
01/04/2026,Avril,CrossFit,Renfo bloc 1 Manu + WOD Push Press,6 x 3 à 60 kg,AMRAP 8' (10 DL 80kg & 5 SHSPU),7,Bien,N/A,"Fini les DL du 9ème tour, très bonne perf"
02/04/2026,Avril,Renfo,"Bench Press, ring, push up",N/A,N/A,5,Bien,N/A,"Exo aux ring, y'a du boulot"
03/04/2026,Avril,CrossFit,Team WOD,N/A,N/A,7,Bien,N/A,Bon WOD avec schotzala
04/04/2026,Avril,Haltéro,Snatch Pull + Squat Snatch,"60, 62,5, 65, 67,5, 70","Clean & Jerk (90, 90, 95, 95, 95, 100)",7,Moyen,Épaule,"Pas trop de jus, épaule sensible"
05/04/2026,Avril,Run,"10km à 5,56/km",N/A,N/A,4,Bien,N/A,Petit EF ça faisait longtemps
06/04/2026,Avril,CrossFit,WOD de Pâques,N/A,N/A,7,Bien,N/A,"Très cool en extérieur, bon WOD"
07/04/2026,Avril,Haltéro,1 RM Clean & Jerk,100kg,1 Squat Snatch + 1 Power Snatch 55 kg,7,Moyen,N/A,"Ce n'était pas ça, bloqué à 100 kg"
07/04/2026,Avril,Technique,RMU + HSW,N/A,N/A,4,Bien,N/A,"Très content, y'a du boulot sur les RMU mais ça passe à chaque fois. Declic sur le HSW également"
08/04/2026,Avril,CrossFit,Power Clean + Push Jerk,"7 x 1 PC + 2 PJ (60, 65, 70, 75, 75, 80, 80)","AMRAP 12' (9 cal row, 9 situp, 9 burpees)",7,Bien,Épaule,"Deuxième jour jerk, les deux épaules ont fondu après le WOD"
09/04/2026,Avril,Renfo,"Bench press, push up, DU",N/A,N/A,5,Fatigué,Épaule,"Epaule toujours sensible, pas très malin"
11/04/2026,Avril,Renfo,"Shoulder, push up",N/A,N/A,4,Fatigué,N/A,Peu d'envie
13/04/2026,Avril,CrossFit,Technique HSW,N/A,WOD 3 1/4 finale,6,Bien,N/A,DU
14/04/2026,Avril,Haltéro,1 RM Snatch,80kg PR,2 Power Clean + 2 Push Press,7,Bien,N/A,"Enfin passé les 80 kg, barrière principalement mentale mais technique à bosser encore avec cette barre qui part vers l'avant"
14/04/2026,Avril,Technique,BMU + HSW,N/A,N/A,5,Bien,N/A,"On bosse le retour à partir de la 2ème rep, le press"
15/04/2026,Avril,Run,6km à 6/km,N/A,N/A,4,Bien,N/A,"Très fatigué, ça faut du bien de bouger un peu"
16/04/2026,Avril,Technique,TTB,EMOM 8' x 8 rep,N/A,5,Bien,N/A,Séance utile à bosser un point faible
17/04/2026,Avril,CrossFit,Box Squat,6 x 8 rep à 120 kg,"AMRAP 8' (10 front rack lunges 43 kg, 5 ring dips)",6,Bien,N/A,"Séance après déjeuner d'équipe, content de bouger"
18/04/2026,Avril,Team WOD,N/A,N/A,"AMRAP 12' (30C&J, 10 TTB, 10 Burpees)",8,Bien,N/A,Bon team avec Arthur ça a bien bougé
19/04/2026,Avril,Renfo,"Bench Press, push ups",N/A,N/A,5,Bien,N/A,Petit renfo des familles
20/04/2026,Avril,CrossFit,N/A,N/A,WOD4 1/4 finale: 17'10,7,Bien,N/A,"Bonne perf, content"
21/04/2026,Avril,Haltéro,Hip Snatch,N/A,N/A,5,Bien,N/A,On bosse la verticalité en léger
21/04/2026,Avril,Run,8km à 6/km,N/A,N/A,4,Bien,N/A,Petite forme mais EF qui fait du bien
22/04/2026,Avril,CrossFit,Push Jerk,EMOM 10',"AMRAP' 12 TTB, Lunges, Wall Walk",7,Bien,N/A,Petite forme également mais on fait le taff
23/04/2026,Avril,Renfo,Bench Press,5x4 à 75kh,N/A,4,Bien,N/A,"On progresse le bench, je vais continuer a minima 1 fois par semaine"
24/04/2026,Avril,CrossFit,WOD hommage Karine,N/A,"26' AMRAP (20 Knee to elbow, 26 Cleans, 20 cal row, 26 situp, 20 front squat, 26 burpees)",8,Bien,N/A,WOD hommage Karine
25/04/2026,Avril,Run,10km à 6/km,N/A,N/A,3,Bien,N/A,"Run sous le soleil, très bon rythme, peut-être fait un peu plus que 10"
26/04/2026,Avril,Renfo,Bench Press,5x5 à 70kg,N/A,4,Bien,N/A,"On progresse le bench, je vais continuer a minima 1 fois par semaine"
26/04/2026,Avril,Run,9.1km à 5.13/km,N/A,N/A,6,Bien,N/A,Run au seuil je dirais. On va tenter d'aller sous les 5 pour le 10km
27/04/2026,Avril,CrossFit,HSW Skills,N/A,"5 rounds (4 WW, 16 Swing, 16 G-squat, 200m run)",8,Bien,N/A,"WOD avec Adri, il m'a mis 20 secondes je suis content"
28/04/2026,Avril,Haltéro,Hip Snatch,N/A,Low hang muscle clean + push press,5,Bien,N/A,"Technique technique, proche du corps"
28/04/2026,Avril,Technique,"TTB, Butterfly PU, HSW",N/A,N/A,5,Bien,N/A,Le HSW sous pression fonctionne mieux
29/04/2026,Avril,CrossFit,Power Clean + Push Jerk,Montée de 60 à 85 kg,"AMRAP 10' (5 Squat Clean, 10 TTB, 30 DU)",7,Bien,N/A,On continue de bosser les TTB et les DU sous fatigue
30/04/2026,Avril,Renfo,Bench Press + Bras,5 x 5 70 kg,N/A,4,Bien,N/A,On continue le renfo haut du corps
01/05/2026,Mai,Team WOD,N/A,N/A,3 x 12' AMRAP,8,Bien,N/A,Team WOD avec David et Apo
02/05/2026,Mai,Team WOD,N/A,N/A,N/A,5,Bien,N/A,"Un peu décevant, pas assez intensif. Mais content des BMU qui sont bien passés. LEs DU en revanche"
04/05/2026,Mai,CrossFit,Ring MU,N/A,"3 rounds For Time (50 squat, 7 BMU, 10 Hang Snatch)",7,Bien,N/A,Journée post tattoo donc pas au max mais ça passe
05/05/2026,Mai,Run,"10,6 km à 5.49/km",N/A,N/A,6,Moyen,N/A,"Run sous la pluie en petite forme, ça va être chaud de passer sous les 5/km dimanche"
06/05/2026,Mai,Renfo,Bench Press + HSW + DU,N/A,N/A,4,Bien,N/A,Renfo tranquille
11/05/2026,Mai,CrossFit,Snatch Pull + Hang Snatch + OHS,N/A,"Every 4' x 4 (12 Snatch, 15 TTB, 40 DU)",9,Mauvais,N/A,"Malade, dans le mal, horrible"
13/05/2026,Mai,Technique,BMU + HSW,N/A,N/A,5,Moyen,N/A,Content d'avoir progressé au HSW notamment mais bien malade encore
15/05/2026,Mai,Squash,N/A,N/A,N/A,4,Bien,N/A,Activité sportive avec le P-A pour reprendre
16/05/2026,Mai,Team WOD,N/A,N/A,"Power Clean, WB, BMU + Row, HSPU, DB Thrusters, situp",8,Bien,N/A,On bouge bien pour la reprise
17/05/2026,Mai,Renfo,Bench Press + Gym,N/A,N/A,5,Moyen,Épaule,Un peu rouillé aujourd'hui mais on continue de bosser les faiblesses
18/05/2026,Mai,CrossFit,Snatch,N/A,"Every 4' x 4 (12 OHS, 15 TTB, 40 DU)",7,Bien,N/A,"TTB et DU sous fatigue, l'enfer pour moi mais on continue à les bosser jusqu'à la compèt"
19/05/2026,Mai,Haltéro,High Hang Squat Clean,N/A,N/A,5,Bien,N/A,Jambes lourdes mais bonne session technique
19/05/2026,Mai,Technique,BMU sous fatigue,8 air squat + 3 BMU,HSW sous fattigue,7,Bien,N/A,Très bonne prépa compet avec Manu
20/05/2026,Mai,CrossFit,Back Squat,Every 3' x 4 (6 Back Squat 321),"AMRAP 10' (10 SDHP, 10 Box step up, 400m run)",8,Bien,N/A,Jambes lourdes et bas du dos fatigué
21/05/2026,Mai,Renfo,"Pull up, push up, HSW, DU",N/A,N/A,5,Bien,Épaule,Epaule sensible on en force pas
22/05/2026,Mai,CrossFit,HSW,Pratique HSW,"AMRAP 12' (10 Double DB Squat Clean, 6m HSW, 5 burpees pull up)",8,Bien,N/A,"Première grosse chaleur, travail HSW sous fatigue"
23/05/2026,Mai,Team WOD,N/A,N/A,N/A,7,Bien,N/A,"Bon team WOD avec Antoine sous le soleil, dumbell et run"
24/05/2026,Mai,Run,8km à 6/km,N/A,N/A,4,Bien,N/A,Petit run sous le soleil
26/05/2026,Mai,Team WOD,N/A,N/A,N/A,7,Bien,N/A,"Forte châleur, prépa compet avec Adrien"
27/05/2026,Mai,CrossFit,Back Squat,"Every 2'30, 8 Back Squat 100 kg","AMRAP 10' (10 DL 80kg, 15 TTB, 20 RSwing)",8,Bien,N/A,"Forte châleur, pas trop de jus sur le squat mais ça bouge sur le WOD"
28/05/2026,Mai,Technique,"BMU, C2B, HSW, SHSPU sous fatigue",N/A,N/A,7,Fatigué mais bien,N/A,"Dernière séance avant compèt avec Manu, des progrès significatifs"
01/06/2026,Juin,Endurance,EMOM 42',N/A,"600m run sur 3' puis ski, sled push, row",7,Fatigué mais bien,N/A,"Après 3 jours de Budapest, la séance qu'il me fallait en cardio"
02/06/2026,Juin,Haltéro,Squat Snatch,"Complex High Hang, Hang, Low Hang, Squat Snatch de 70 à 80 kg x 6",N/A,7,Fatigué mais bien,N/A,On bouge à J-4
03/06/2026,Juin,Technique,"DU, BMU, TTB, HSW",N/A,N/A,4,Fatigué,N/A,On se met en confiance à J-3
06/06/2026,Juin,Compétition,N/A,N/A,N/A,10,Explosé,Avant bras,"Première compétition RX, très fier, on était loin d'être ridicule"
08/06/2026,Juin,Endurance,"Run, Row, Run, Ski, Run, Sled Push, Run, Burpees to plate",N/A,N/A,5,Bien,N/A,"Content, on bouge après la compet"
10/06/2026,Juin,CrossFit,Back Squat,Every 3' x 4 (5 Back Squat 110kg),"AMRAP 12' (40 BW lunges, 30 A-swings 24kg, 20 G-squat, 10 pull up)",8,Très fatigué,Avant bras,"Reprise après une journée de repos, les batteries à vide je suis explosé"
11/06/2026,Juin,,,,,,,,
15/06/2026,Juin,,,,,,,,
16/06/2026,Juin,,,,,,,,
17/06/2026,Juin,,,,,,,,
,Juin,,,,,,,,
,Juin,,,,,,,,
,Juin,,,,,,,,
,Juin,,,,,,,,